SAMPLE,STATE_FIPS,COUNTY_FIPS
100.I,35,35001
100.O,35,35001
1000.I,24,24031
1000.O,24,24031
1001.I,34,34017
1001.O,34,34017
1002.I,54,54039
1002.O,54,54039
1003.I,25,25017
1003.O,25,25017
1004.I,17,17031
1004.O,17,17031
1005.I,34,34025
1005.O,34,34025
1006.I,42,42111
1006.O,42,42111
1007.I,21,21067
1007.O,21,21067
1008.I,36,36063
1008.O,36,36063
1009.I,42,42041
1009.O,42,42041
101.I,13,13089
101.O,13,13089
1010.I,01,01097
1010.O,01,01097
1012.I,04,04013
1012.O,04,04013
1013.I,12,12086
1013.O,12,12086
1014.I,06,06085
1014.O,06,06085
1015.I,54,54025
1015.O,54,54025
1016.I,13,13089
1016.O,13,13089
1017.I,37,37183
1017.O,37,37183
1018.I,37,37165
1018.O,37,37165
1019.I,37,37183
1019.O,37,37183
102.I,25,25025
102.O,25,25025
1020.I,49,49049
1020.O,49,49049
1021.I,37,37183
1021.O,37,37183
1022.I,54,54049
1022.O,54,54049
1023.I,39,39049
1023.O,39,39049
1024.I,12,12001
1024.O,12,12001
1025.I,40,40071
1025.O,40,40071
1026.I,37,37119
1026.O,37,37119
1027.I,42,42125
1027.O,42,42125
1028.I,39,39035
1028.O,39,39035
1029.I,36,36015
1029.O,36,36015
1030.I,39,39049
1030.O,39,39049
1033.I,24,24003
1033.O,24,24003
1034.I,34,34039
1034.O,34,34039
1035.I,34,34017
1035.O,34,34017
1036.I,42,42069
1036.O,42,42069
1037.I,29,29019
1037.O,29,29019
1038.I,49,49035
1038.O,49,49035
1039.I,06,06059
1039.O,06,06059
1040.I,48,48439
1040.O,48,48439
1041.I,39,39035
1041.O,39,39035
1042.I,06,06113
1042.O,06,06113
1043.I,06,06085
1043.O,06,06085
1045.I,25,25017
1045.O,25,25017
1046.I,22,22103
1046.O,22,22103
1048.I,17,17031
1048.O,17,17031
1050.I,37,37063
1050.O,37,37063
1051.I,29,29077
1051.O,29,29077
1052.I,34,34013
1052.O,34,34013
1053.I,53,53033
1053.O,53,53033
1054.I,45,45019
1054.O,45,45019
1055.I,34,34017
1055.O,34,34017
1056.I,31,31109
1056.O,31,31109
1057.I,23,23001
1057.O,23,23001
1058.I,06,06085
1058.O,06,06085
1059.I,04,04021
1059.O,04,04021
106.I,01,01089
106.O,01,01089
1060.I,36,36047
1060.O,36,36047
1061.I,06,06037
1061.O,06,06037
1062.I,37,37135
1062.O,37,37135
1063.I,42,42043
1063.O,42,42043
1064.I,56,56001
1064.O,56,56001
1065.I,09,09001
1065.O,09,09001
1066.I,13,13073
1066.O,13,13073
1067.I,25,25017
1067.O,25,25017
1068.I,26,26037
1068.O,26,26037
1069.I,24,24003
1069.O,24,24003
107.I,26,26163
107.O,26,26163
1070.I,37,37183
1070.O,37,37183
1071.I,55,55089
1071.O,55,55089
1072.I,34,34031
1072.O,34,34031
1073.I,34,34017
1073.O,34,34017
1074.I,04,04013
1074.O,04,04013
1075.I,18,18095
1075.O,18,18095
1076.I,44,44003
1076.O,44,44003
1077.I,47,47035
1077.O,47,47035
1078.I,42,42093
1078.O,42,42093
1079.I,06,06067
1079.O,06,06067
1080.I,41,41051
1080.O,41,41051
1081.I,20,20121
1081.O,20,20121
1082.I,04,04013
1082.O,04,04013
1083.I,51,51099
1083.O,51,51099
1084.I,41,41039
1084.O,41,41039
1085.I,17,17031
1085.O,17,17031
1087.I,06,06007
1087.O,06,06007
1088.I,08,08013
1088.O,08,08013
1089.I,19,19113
1089.O,19,19113
109.I,34,34017
109.O,34,34017
1090.I,36,36045
1090.O,36,36045
1091.I,25,25027
1091.O,25,25027
1093.I,17,17121
1093.O,17,17121
1094.I,06,06037
1094.O,06,06037
1095.I,19,19113
1095.O,19,19113
1097.I,36,36029
1097.O,36,36029
1098.I,26,26161
1098.O,26,26161
1099.I,27,27109
1099.O,27,27109
1100.I,06,06073
1100.O,06,06073
1101.I,17,17049
1101.O,17,17049
1102.I,48,48451
1102.O,48,48451
1103.I,17,17031
1103.O,17,17031
1104.I,25,25017
1104.O,25,25017
1105.I,37,37003
1105.O,37,37003
1106.I,28,28035
1106.O,28,28035
1107.I,27,27123
1107.O,27,27123
1108.I,29,29161
1108.O,29,29161
1109.I,51,51013
1109.O,51,51013
1110.I,36,36019
1110.O,36,36019
1111.I,18,18039
1111.O,18,18039
1112.I,37,37183
1112.O,37,37183
1113.I,53,53033
1113.O,53,53033
1114.I,21,21111
1114.O,21,21111
1115.I,17,17031
1115.O,17,17031
1117.I,12,12017
1117.O,12,12017
1118.I,55,55133
1118.O,55,55133
1119.I,36,36011
1119.O,36,36011
112.I,25,25017
112.O,25,25017
1120.I,21,21067
1120.O,21,21067
1121.I,37,37063
1121.O,37,37063
1122.I,19,19181
1122.O,19,19181
1123.I,36,36119
1123.O,36,36119
1124.I,09,09007
1124.O,09,09007
1125.I,08,08007
1125.O,08,08007
1126.I,37,37055
1126.O,37,37055
1127.I,39,39093
1127.O,39,39093
1128.I,34,34015
1128.O,34,34015
1129.I,26,26077
1129.O,26,26077
1130.I,48,48491
1130.O,48,48491
1132.I,06,06073
1132.O,06,06073
1133.I,53,53033
1133.O,53,53033
1134.I,18,18097
1134.O,18,18097
1135.I,37,37135
1135.O,37,37135
1136.I,25,25027
1136.O,25,25027
1137.I,37,37183
1137.O,37,37183
1138.I,42,42011
1138.O,42,42011
1139.I,22,22071
1139.O,22,22071
114.I,24,24031
1140.I,53,53033
1140.O,53,53033
1141.I,06,06001
1141.O,06,06001
1142.I,06,06037
1142.O,06,06037
1143.I,36,36061
1144.I,27,27145
1144.O,27,27145
1145.I,06,06037
1145.O,06,06037
1146.I,13,13115
1146.O,13,13115
1147.I,53,53063
1147.O,53,53063
1148.I,49,49035
1148.O,49,49035
1149.I,06,06085
1149.O,06,06085
