"Covariate","R^2"
"NH_FEMALE_80plus",0.719835376106718
"UNITS_IN_STRUCTURE_Total_housing_units_2_units",0.677726799228853
"WA_FEMALE_80plus",0.672802609929301
"WAC_FEMALE_80plus",0.665235753793378
"SELECTED_MONTHLY_OWNER_COSTS_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_Housing_unit_without_a_mortgage_25_to_29point9_percent",0.662198537581458
"NHWAC_FEMALE_80plus",0.651373338811162
"YEAR_HOUSEHOLDER_MOVED_INTO_UNIT_Occupied_housing_units_Moved_in_2015_to_2016",0.64287651403992
"YEAR_STRUCTURE_BUILT_Total_housing_units_Built_1939_or_earlier",0.636237100660075
"NHWA_FEMALE_80plus",0.631936250334405
"NH_MALE_80plus",0.624400633833335
"YEAR_HOUSEHOLDER_MOVED_INTO_UNIT_Occupied_housing_units_Moved_in_2017_or_later",0.615427587227436
"YEAR_STRUCTURE_BUILT_Total_housing_units_Built_1990_to_1999",0.603161446330814
"SELECTED_MONTHLY_OWNER_COSTS_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_Housing_unit_without_a_mortgage_35_percent_or_more",0.599646349858147
"WAC_MALE_80plus",0.597663643502049
"SELECTED_MONTHLY_OWNER_COSTS_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_Housing_unit_without_a_mortgage_20_to_24point9_percent",0.597289909923746
"NH_MALE_0.19",0.590757276881978
"HOUSE_HEATING_FUEL_Occupied_housing_units_Fuel_oil_kerosene_etc",0.581485120538014
"YEAR_HOUSEHOLDER_MOVED_INTO_UNIT_Occupied_housing_units_Moved_in_1989_and_earlier",0.574662850727419
"SELECTED_MONTHLY_OWNER_COSTS_Housing_units_with_a_mortgage_1000_to_1499",0.573398220071992
"YEAR_STRUCTURE_BUILT_Total_housing_units_Built_2014_or_later",0.567438155397885
"NH_MALE_60.79",0.567050736156889
"WA_MALE_80plus",0.564967740973354
"NHWAC_MALE_80plus",0.55632958015381
"YEAR_STRUCTURE_BUILT_Total_housing_units_Built_2010_to_2013",0.551473413351622
"NHWAC_MALE_60.79",0.544507212865962
"SELECTED_MONTHLY_OWNER_COSTS_Housing_units_without_a_mortgage_400_to_599",0.539796484685391
"NHWA_MALE_80plus",0.537172069339754
"NH_FEMALE_0.19",0.536720265573158
"SELECTED_MONTHLY_OWNER_COSTS_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_Housing_unit_without_a_mortgage_Less_than_10_percent",0.535235642803348
"NHWA_MALE_60.79",0.528057706860628
"WA_MALE_60.79",0.506264671716494
"WA_FEMALE_60.79",0.506178414397855
"WAC_FEMALE_60.79",0.501666791091937
"WAC_MALE_60.79",0.501358856953742
"SELECTED_MONTHLY_OWNER_COSTS_Housing_units_without_a_mortgage_1000_or_more",0.496653514672475
"HOUSING_OCCUPANCY_Total_housing_units_Homeowner_vacancy_rate",0.494507095772881
"VEHICLES_AVAILABLE_Occupied_housing_units_3_or_more_vehicles_available",0.485352515161791
"HBAC_MALE_80plus",0.481392638016908
"YEAR_HOUSEHOLDER_MOVED_INTO_UNIT_Occupied_housing_units_Moved_in_1990_to_1999",0.476558906048737
"HBA_FEMALE_60.79",0.476189354664378
"MORTGAGE_STATUS_Owner.occupied_units_Housing_units_without_a_mortgage",0.473680224548264
"HBAC_FEMALE_80plus",0.465660819713014
"HBAC_MALE_60.79",0.465326035600713
"aet_by_wind_08",0.453038961150765
"YEAR_STRUCTURE_BUILT_Total_housing_units_Built_2000_to_2009",0.452669833651302
"YEAR_HOUSEHOLDER_MOVED_INTO_UNIT_Occupied_housing_units_Moved_in_2010_to_2014",0.44472463555961
"wc2.0_30s_wind_03",0.441330505206139
"HBA_MALE_80plus",0.437972430313882
"NH_FEMALE_60.79",0.436946473434816
"NHWAC_FEMALE_60.79",0.433159046607286
"HBAC_FEMALE_60.79",0.431184630564712
"aet_by_wind_07",0.43084199968287
"NH_FEMALE_20.39",0.430216529124259
"SELECTED_MONTHLY_OWNER_COSTS_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_Housing_units_with_a_mortgage_35_percent_or_more",0.42464051636756
"NHWA_FEMALE_60.79",0.423825368969383
"NHTOM_FEMALE_0.19",0.423130735397373
"NH_MALE_20.39",0.421348028616499
"wc2.0_30s_wind_11",0.419966875332585
"SELECTED_MONTHLY_OWNER_COSTS_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_Housing_unit_without_a_mortgage_15_to_19point9_percent",0.414951179884529
"WAC_FEMALE_20.39",0.411685545456717
"TOT_MALE_80plus",0.41008961114797
"UNITS_IN_STRUCTURE_Total_housing_units_3_or_4_units",0.394590694389336
"TOT_FEMALE_80plus",0.393486160113945
"WAC_MALE_20.39",0.393353926826666
"HBA_FEMALE_80plus",0.392969815946646
"TOT_POP_80plus",0.391109593541126
"wc2.0_30s_wind_02",0.386650219124711
"YEAR_STRUCTURE_BUILT_Total_housing_units_Built_1950_to_1959",0.386355018722312
"GROSS_RENT_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_Occupied_units_paying_rent_15_to_19point9_percent",0.384971708788652
"WAC_FEMALE_0.19",0.384874072636789
"VEHICLES_AVAILABLE_Occupied_housing_units_No_vehicles_available",0.384410249744037
"HOUSE_HEATING_FUEL_Occupied_housing_units_Electricity",0.384342741497916
"pet_08",0.382762719296823
"gathering_size_500_101",0.382464763094104
"aet_by_wind_09",0.377710490878479
"WA_FEMALE_20.39",0.377421241886761
"HBA_FEMALE_40.59",0.359518281955995
"TOM_FEMALE_0.19",0.35949629409124
"HBAC_FEMALE_20.39",0.358748322639852
"WAC_MALE_0.19",0.358445535685159
"wc2.0_30s_srad_07",0.358100691547175
"HBA_MALE_0.19",0.357733975649736
"WA_MALE_20.39",0.356715309625036
"GROSS_RENT_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_Occupied_units_paying_rent_20_to_24point9_percent",0.355859128352469
"wc2.0_30s_tavg_03_shuffled",0.348944136821147
"SELECTED_MONTHLY_OWNER_COSTS_Housing_units_without_a_mortgage_800_to_999",0.344796482906665
"HBAC_FEMALE_40.59",0.341679606691914
"Beta_Diversity",0.340021304862922
"HBA_FEMALE_20.39",0.338280289676579
"HBAC_MALE_40.59",0.332238771817614
"GROSS_RENT_Occupied_units_paying_rent_500_to_999",0.331081626810135
"HBAC_FEMALE_0.19",0.329710710622396
"pet_07",0.326740801740346
"GROSS_RENT_Occupied_units_paying_rent",0.323639493832421
"SELECTED_MONTHLY_OWNER_COSTS_Housing_units_with_a_mortgage_1500_to_1999",0.320123036329174
"HBA_FEMALE_0.19",0.315251193135542
"SELECTED_MONTHLY_OWNER_COSTS_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_Housing_unit_without_a_mortgage_30_to_34point9_percent",0.312951834231084
"pet_06_shuffled",0.312229910998561
"SELECTED_MONTHLY_OWNER_COSTS_Housing_units_without_a_mortgage_Median",0.311919600485513
"TOM_FEMALE_20.39",0.310396706301589
"NHTOM_MALE_0.19",0.309661912252446
"wc2.0_30s_srad_08",0.30838224242093
"HBAC_MALE_20.39",0.308371969108494
"wc2.0_30s_prec_03_shuffled",0.307930720568626
"swc_fr_08_res3600.8640_SwcSoilVariance_08",0.306878520991706
"HBA_MALE_40.59",0.30624712033972
"HBA_MALE_60.79",0.305591347335068
"WA_FEMALE_0.19",0.305481736437918
"HBAC_MALE_0.19",0.302338804854282
"NHTOM_MALE_20.39",0.297354506146939
"TOT_MALE_60.79",0.294619991442718
"SELECTED_MONTHLY_OWNER_COSTS_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_Housing_unit_without_a_mortgage_15_to_19point9_percent_shuffled",0.290277866231778
"NHTOM_FEMALE_20.39",0.288564938133843
"GROSS_RENT_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_Occupied_units_paying_rent",0.288226478926491
"TOT_FEMALE_60.79",0.286514071984224
"TOM_MALE_0.19",0.281702984106516
"GROSS_RENT_Occupied_units_paying_rent_Median_shuffled",0.277915501370366
"wc2.0_30s_wind_01",0.276681085630719
"wc2.0_30s_wind_12",0.276076967993621
"TOT_POP_60.79",0.272358036338511
"MODCF_monthlymean_10",0.269618897112645
"GROSS_RENT_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_Occupied_units_paying_rent_25_to_29point9_percent",0.265249891498575
"wc2.0_30s_prec_08",0.262674481046836
"VEHICLES_AVAILABLE_Occupied_housing_units_1_vehicle_available",0.260994846302953
"WA_MALE_0.19",0.256886968927823
"NHWA_FEMALE_AllAges",0.255829183778651
"TOM_MALE_20.39",0.255501406245297
"TOT_FEMALE_60.79_shuffled",0.25498870388912
"HNA_FEMALE_60.79",0.254177539572129
"HIA_MALE_0.19",0.250141707864923
"HIAC_MALE_0.19",0.249713266654868
"wc2.0_30s_tmin_10_shuffled",0.248678872134903
"NHWA_MALE_AllAges",0.247068043420205
"VALUE_Owner.occupied_units_1000000_or_more",0.245303195427759
"wc2.0_30s_srad_09",0.239662311669408
"HBA_MALE_20.39",0.239563323948259
"school_closure",0.238205278989149
"wc2.0_30s_vapr_01_shuffled",0.238101547657708
"aet_by_wind_06",0.235739852786205
"H_FEMALE_80plus",0.235270719051965
"wc2.0_30s_wind_09",0.23515241794548
"swc_fr_12_res3600.8640_SwcSoilVariance_12",0.231176479594064
"NHWAC_FEMALE_AllAges",0.230809003304173
"swc_fr_09_res3600.8640_SwcSoilVariance_09",0.230226158677575
"NHBAC_MALE_60.79_shuffled",0.224880231396448
"GROSS_RENT_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_Occupied_units_paying_rent_30_to_34point9_percent",0.224806020298597
"AAC_FEMALE_20.39_shuffled",0.223491880130963
"aet_by_wind_11",0.222054479244282
"HIAC_FEMALE_0.19",0.220814044574341
"SELECTED_MONTHLY_OWNER_COSTS_Housing_units_with_a_mortgage_3000_or_more",0.219999320753047
"wc2.0_30s_srad_11_shuffled",0.219765298018934
"NHNA_FEMALE_20.39",0.218279754926992
"aet_by_wind_05",0.217426083858026
"SELECTED_MONTHLY_OWNER_COSTS_Housing_units_with_a_mortgage_2500_to_2999",0.216289107593421
"YEAR_STRUCTURE_BUILT_Total_housing_units_Built_1970_to_1979",0.215860551087665
"NHWA_FEMALE_40.59",0.215212515841722
"SELECTED_MONTHLY_OWNER_COSTS_AS_A_PERCENTAGE_OF_HOUSEHOLD_INCOME_Housing_units_with_a_mortgage_30_to_34point9_percent",0.215064251010751
"HIA_FEMALE_0.19",0.214975427502333
"TOT_MALE_20.39_shuffled",0.211746269604287
"NHWAC_MALE_AllAges",0.210126948599209
